start	end	text
2178660	2183660	Nous allons dire que nous changeons chaque note par 0,25 secondes.
2184660	2188660	C'est 0,25 fois la fréquence de la note i.
2188660	2191660	C'est 0,25 fois la fréquence de la note i.
2192660	2206660	Et nous allons dire que le temps actuel est modtime minus le temps initial de cette note.
2207660	2210660	Et nous allons répéter le pattern chaque 2 secondes.
2211660	2214660	C'est exactement la même idée que nous avons vu ici.
2215660	2231660	Et maintenant nous faisons sig plus equals fmplug de fi ti, et retournons sig.
2231660	2248660	Nous faisons sig plus equals jingle of t, et c'est tout.
2248660	2249660	C'est tout.
2257660	2258660	Maintenant, c'est bien.
2259660	2261660	Que se passe-t-il à la panning ?
2262660	2270660	Nous pouvons, par exemple, avoir une position pour chaque note.
2271660	2273660	Et cette position pourrait être...
2274660	2280660	Nous voulons que la première note soit dans le milieu, puis à droite, puis à gauche, puis au milieu, puis à droite.
2281660	2296660	Une possible formule pour cela serait imat3 plus 1, minus 1.
2300660	2304660	Maintenant, c'est imat3 plus 1.
2307660	2311660	Et nous pouvons faire une pause de temps.
2316660	2322660	Maintenant, si vous avez du stereo, vous allez entendre que le signal est entouré.
2323660	2324660	Fantastique.
2325660	2330660	La dernière chose que j'aimerais faire, c'est changer l'octave de cette note.
2334660	2336660	Pour avoir une bonne mélodie.
2338660	2340660	C'est tout pour aujourd'hui.
2340660	2347660	La prochaine fois, j'espère que je vais vous montrer comment faire de la percussion,
2348660	2353660	puis des effets, et commencer à parler de la structure de la chanson.
2354660	2355660	Au revoir.
